country_code,output,expenditure,deficit,gdp,labor,rnd_gdp,price_level
1.0,33741506.828128,34367541.55360534,-626034.7254773328,19568501567666.668,214203559.33333334,0.029141299724578833,1.0
2.0,35193316.557408,34914791.769557334,278524.7878506668,19595934811636.293,397653313.3333333,0.020388093962241564,0.8297398417909928
3.0,8648088.265317334,8644717.829166668,3370.4361506663263,4990783459935.543,75114859.0,0.031649232705434134,0.9500664565076188
4.0,31603336.696424335,31349183.417679336,254153.27874499932,12479501152334.734,986068508.0,0.021189800103505397,0.6195254773194899
5.0,3164590.3061483335,3166835.0456613335,-2244.7395130003183,1925385015981.9734,145544581.33333334,0.011905200084050466,0.6346272259194297
6.0,4609349.151343667,4681368.010077667,-72018.85873400031,2549733548614.84,898454314.3333334,0.006638666590054767,0.3055426457144353
7.0,2835121.026044,2873036.4394486663,-37915.41340466682,1634196526311.5134,24525218.333333332,0.0169789997736613,0.9252289179422247
8.0,3494705.6303706667,3397949.1266646665,96756.50370600012,1616286236233.8066,37535452.0,0.0426514323552449,0.7629412148864011
9.0,2635286.8422573335,2554659.0992286666,80627.74302866682,1502772004158.7766,98723591.0,0.010673566857973701,0.3886340204679943
10.0,1927019.0745080002,1947690.9864736667,-20671.911965666728,1153270630175.327,80929946.0,0.0034107000629106667,0.4685055676808397
11.0,627024.8990556666,638745.5702016666,-11720.671145999959,369731338406.261,37337258.333333336,0.0073302000761031995,0.46451223957283666
12.0,13851954.213977335,13794780.643217666,57173.570759666465,14062510914642.807,1932568821.3333333,0.014550341110944167,0.5441507494850094
