,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,CAN,KOR,RUS,AUS,MEX
0,311,baseline,pop_weighted,0.01,0.01,0.01,20.13562665546957,6.689449323530807,20.45999996475585,18.57456026236838,,,,,
1,311,baseline,negishi,0.01,0.01,0.01,6.213276070104838,3.7168787106079977,4.480838252140103,6.161210991554315,,,,,
2,311,1.0,pop_weighted,0.01,0.01,0.01,34.3342664705486,9.324937966634293,35.244946310816964,26.59563588234201,,,,,
3,311,1.0,negishi,0.01,0.01,0.01,100.0,62.7336905027468,79.22037636354902,100.0,,,,,
4,311,1.1,pop_weighted,0.01,0.01,0.01,32.69173515444417,10.226338261867353,34.42169099522992,26.418090505078585,,,,,
5,311,1.1,negishi,0.01,0.01,0.01,19.89682183003784,11.591025222380438,14.79701182065984,16.66699632882411,,,,,
6,311,1.2,pop_weighted,0.01,0.01,0.01,46.44771149079342,4.982779250366768,51.3088304145402,32.022732812686286,,,,,
7,311,1.2,negishi,0.01,0.01,0.01,39.65613664125158,5.9089005942382045,24.05752355491773,21.009209098665742,,,,,
8,311,1.3,pop_weighted,0.01,0.01,0.01,30.937592707004697,13.3219265169977,30.52857830426357,35.50705096409914,,,,,
9,311,1.3,negishi,0.01,17.08515040965612,0.01,15.79565139241648,7.288711678593255,9.739637317411155,10.600494744323704,,,,,
10,311,1.4,pop_weighted,0.01,0.01,0.01,0.7026914347231796,0.2859355025404224,0.7164001488237525,0.8853465314335865,,,,,
11,311,1.4,negishi,0.01,0.1916925378000021,0.01,0.237922115892342,0.1422072544818514,0.1794379871238235,0.4885224000885195,,,,,
12,311,1.5,pop_weighted,0.01,0.01,0.01,17.856474498099345,7.14862086511372,18.828208723139028,16.891045211965817,,,,,
13,311,1.5,negishi,0.01,21.92147768966107,0.01,27.58527075340436,14.294249931877998,18.86075163012244,18.085468874747843,,,,,
14,311,1.6,pop_weighted,0.01,0.01,0.01,3.4132400587687983,6.829722763210155,3.568620272609023,14.35502909880299,,,,,
15,311,1.6,negishi,0.0100000000000002,4.127145451118368,4.590826361729596,4.93718390715018,3.785525555499766,3.86975314185825,6.632952457735324,,,,,
16,311,1.7,pop_weighted,0.01,0.01,0.01,4.484558440348002,4.400939145788861,3.129442785116768,11.957478883992298,,,,,
17,311,1.7,negishi,0.01,3.96891418929035,3.5498830941444504,3.55040475323872,2.1204857665965084,2.636230870906359,4.438068309072059,,,,,
18,311,1.8,pop_weighted,0.01,0.01,0.01,8.701814042292709,4.93421706193686,5.177147529608833,14.061694559421646,,,,,
19,311,1.8,negishi,0.8347415985438571,9.63745413913642,4.7819059184671655,9.73333719279772,6.144030568673051,5.92605346353681,11.509727939467547,,,,,
20,311,2.1.0,pop_weighted,0.01,0.01,0.01,65.58237211960284,33.12867421032892,92.43458803887069,100.0,,,,,
21,311,2.1.0,negishi,0.01,0.01,0.01,1.869822333255876,1.1278848660817151,1.41416995234067,1.4958811679196524,,,,,
22,311,2.1.0,negishi_weighted,0.01,0.01,0.01,1.869822333255876,1.1278848660817151,1.41416995234067,1.4958811679196524,,,,,
23,311,2.1.1,pop_weighted,0.01,0.01,0.01,53.80632195014999,17.142561169660375,55.53033099295676,63.36022353873727,,,,,
24,311,2.1.1,negishi,0.01,0.01,0.01,100.0,79.51740619516264,91.77975851235036,100.0,,,,,
25,311,2.1.2,pop_weighted,0.01,0.01,0.01,86.76032680067176,26.241454301947805,91.45165047470284,100.0,,,,,
26,311,2.1.2,negishi,0.01,0.01,0.01,44.37498305880671,32.94575361834632,38.44805733529762,75.48400674632654,,,,,
27,311,2.1.3,pop_weighted,0.01,0.01,0.01,54.564121240714165,23.691602633474268,58.28666468099681,63.33123626816514,,,,,
28,311,2.1.3,negishi,0.01,0.01,0.01,34.393656743230856,31.888032281894827,34.1209499277939,54.74106611048024,,,,,
29,311,2.1.4,pop_weighted,0.01,0.01,0.01,44.39476534651741,18.247316295707336,47.34020609976565,51.48851940488484,,,,,
30,311,2.1.4,negishi,0.01,0.01,0.01,34.06799097489502,21.050576154164737,25.949624930728707,34.60505384453996,,,,,
31,311,2.1.5,pop_weighted,0.01,0.01,0.01,100.0,43.4413418502486,99.99999996873862,99.9999999035782,,,,,
32,311,2.1.5,negishi,0.01,0.01,0.01,29.8477727369458,20.101475942586696,23.92756001936048,31.67674211927641,,,,,
33,311,2.1.6,pop_weighted,0.01,0.01,0.01,18.7516610598325,10.766231347530974,20.83782734033508,20.61935944777291,,,,,
34,311,2.1.6,negishi,0.01,4.837716381070157,0.01,28.41821778877891,18.171044225114493,22.755024670623552,34.115302918062646,,,,,
35,311,2.1.7,pop_weighted,0.01,0.01,0.01,81.58406862260033,33.115634654152686,81.69724543277957,100.0,,,,,
36,311,2.1.7,negishi,0.01,2.7931263230607395,0.01,14.64542690325241,8.732061952056332,11.18023562866963,16.219258178452225,,,,,
37,311,2.1.8,pop_weighted,0.01,0.01,0.01,78.8673112588956,29.31688781222109,85.01085745556999,82.66131884221113,,,,,
38,311,2.1.8,negishi,0.01,6.406253418550794,0.01,27.655335685318505,16.721680721544942,21.327704537450582,30.34665802974908,,,,,
39,311,2.1.10,pop_weighted,0.01,0.01,0.01,100.0,72.30661916487432,100.0,100.0,,,,,
40,311,2.1.10,negishi,0.1633904256650154,17.07606199228649,0.1929795124431645,17.087678022176448,12.663395296086302,14.86519559477258,21.17113977424205,,,,,
41,311,2.1.11,pop_weighted,2.473172778112096,3.441107676861186,2.4467217351775563,4.212938715045995,2.303457429378085,3.5854300447747884,5.571427059923975,,,,,
42,311,2.1.11,negishi,4.027928735824734,4.890923661919817,4.2618995264173645,3.991226391466401,4.470374015048052,3.1812263490697625,5.515130807168711,,,,,
43,311,1.9,pop_weighted,0.01,0.01,0.01,12.110691630301313,6.358232677017686,11.907603614120614,16.540806144187908,,,,,
44,311,1.9,negishi,0.01,0.2325517146016797,0.01,4.761246412794178,2.9008461843904465,3.5131377934955963,5.852881684887098,,,,,
45,311,1.10,pop_weighted,0.01,0.01,0.01,57.15702115372567,25.602107573045693,46.23420715414247,61.738107519752816,,,,,
46,311,1.10,negishi,0.01,10.313615071660909,0.01,29.068583104202155,18.44443582532296,22.27190793627336,34.43837436008917,,,,,
47,311,1.11,pop_weighted,0.01,0.01,0.01,17.013157333002745,8.713985417966695,16.44375433953412,20.59649947052121,,,,,
48,311,1.11,negishi,0.01,76.2396633617726,0.01,8.80946231237492,22.19412132608871,26.86943141512611,37.45609949393184,,,,,
49,311,2.1.9.2,pop_weighted,0.01,0.01,0.01,11.888194568131947,5.516755522976524,12.525349273706562,13.588997303081223,,,,,
50,311,2.1.9.2,negishi,0.01,10.35105865443574,5.598533762286351,8.617640226820987,6.616459451935194,7.649170324335676,11.869667723791087,,,,,
51,311,3.0,pop_weighted,0.01,0.01,0.01,0.5738911235539798,0.4292912916277565,0.5372350916826731,1.04891323313505,,,,,
52,311,3.0,negishi,0.01,0.01,0.01,33.1012960348647,14.58235591494285,19.717290357932505,14.626123931194332,,,,,
53,311,4.0,pop_weighted,0.01,0.01,0.01,36.90295182224413,6.755636832582213,35.16791432209253,27.34447334095864,,,,,
54,311,4.0,negishi,0.01,0.01,0.01,33.73688490010659,10.67359654101214,15.560776857283331,16.43858236972948,,,,,
