,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,Equal,Negishi,CAN,KOR,RUS,MEX
0,501,1.0,negishi,1.005223311477413,1.067666523985174,0.9838565640036386,1.0712907700931829,1.0653701217862015,1.0634663755020917,1.052930795145068,1.059788304577313,1.045638027770001,,,,
1,501,1.0,pop_weighted,1.0248064397017362,0.9724298628988955,1.0062659847664834,1.0949676756402855,1.0889472044162425,1.0861023274284587,1.0765591923910511,1.079589956796733,1.042765649099241,,,,
2,501,2.0,negishi,1.00401633453372,1.0663679950207807,0.988934021217334,1.0537574702498649,1.0532847659917477,1.0490527970756809,1.0492693463693878,1.04996000986374,1.040390798408119,,,,
3,501,2.0,pop_weighted,1.0227873982343811,0.9738418207835854,1.0108439587623386,1.0765297585226827,1.0760910262589125,1.0708261901016278,1.072209506234289,1.0691330615491972,1.0377361037440471,,,,
4,501,3.0,negishi,1.021536009038748,1.1074901868585738,0.9845204175988016,1.0913588893730966,1.0882900639904165,1.0847911410852131,1.0887746238352327,1.0874111901443104,1.0719190040264164,,,,
5,501,3.0,pop_weighted,1.0585664165398057,0.9941659032513708,1.0249483915857247,1.1363745016059263,1.1329971673896262,1.127367388034037,1.1340694849454198,1.126955983063058,1.0808213605597,,,,
6,607,baseline,negishi,1.0068735995428248,1.0795829843511209,0.98445068102012,1.0688035843019374,1.0627885483485695,1.0511072080555266,1.0460495488668904,1.0529426509643904,1.0443382058183337,,,,
7,607,baseline,pop_weighted,1.0273562649388093,0.9871057414959944,1.0070760977516748,1.092566845776224,1.086048228148714,1.0735283019769502,1.0713464825507193,1.0744377696682743,1.0392371744191338,,,,
8,1003,baseline,negishi,1.0113972478442843,1.0257718712980992,1.026855876342278,1.0885713596936812,1.0837653113247232,1.0817729124791966,1.0803339587645109,1.0797489013848771,1.055095220816261,1.0401058389248965,1.0389495201245738,1.0832949386673796,1.0810393959477609
9,1003,baseline,pop_weighted,1.012140604932542,1.0264680949862486,1.0276019253664672,1.0892345804869852,1.0844292955353727,1.0824437858867813,1.081023810086993,1.080141240892259,1.0549669805005195,1.040780249577662,1.0396985892742872,1.084003782069063,1.0434488099111106
10,1003,0.4,negishi,0.9857350736424162,1.051405737842757,0.9873994749135464,1.0469924268288695,1.0386143744385683,1.036137892458146,1.0330076853460064,1.035400801439574,1.0281880638391117,0.998491706207676,0.9950712410127844,1.036592316781509,1.035670048833426
11,1003,0.4,pop_weighted,1.0033121257776287,1.0052260135154587,1.0072724970326905,1.0673630506562397,1.0588341076106351,1.056314346804175,1.0539937578294267,1.054419496611778,1.034564933693064,1.0189404520540708,1.0183888380699138,1.0572497247033237,1.0350592260060842
12,1004,baseline,negishi,0.9857351475152578,1.0514031276052345,0.9873983220897384,1.0469811228837504,1.0386165530391027,1.0361353200740175,1.033007571685444,1.035402198880251,1.0281963643066112,0.9984932379043135,0.9950730968185392,1.0365968364028115,1.0356707292756682
13,1004,baseline,pop_weighted,1.0033244868864644,1.0052365253766502,1.0072839553927817,1.06739124939624,1.0588443281998567,1.0563235338929706,1.0540043775979466,1.0544280687318008,1.0345646523565062,1.0189512505927034,1.0184021080588244,1.0572602304328464,1.0344617839965633
14,1010,baseline,negishi,1.0188762424809303,1.021530146606418,1.0243233353693335,1.0994892190310956,1.0912743226071462,1.0887721427780126,1.087047639924261,1.0867599273288393,1.0596490171674111,1.0391436260800622,1.0377539928776476,1.090159766592686,1.0881415428249286
15,1010,baseline,pop_weighted,1.0204180683985125,1.0228803487911484,1.025782078711749,1.1007906780822792,1.0925531656165055,1.0900743321904556,1.0883887569284958,1.0875249554395183,1.0594851003862944,1.0405586060447147,1.0393504299032883,1.0915359482962603,1.01892187401897
